! MOLECULE
o-H2O
! MASS
 18.
! NUMBER OF ENERGY LEVELS
5
! LEVEL + ENERGY(CM-1) + WEIGHT + QUANTUM NOS.  J_K+_K-
  1    23.794356     9.0      1_0_1
  2    42.371741     9.0      1_1_0
  3    79.496382    15.0      2_1_2
  4   134.901638    15.0      2_2_1
  5   136.761650    21.0      3_0_3
! NUMBER OF RADIATIVE TRANSITIONS
5
! TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz)+ E_up(K)
   1    2   1   3.458E-03    556.93607     61.0
   2    3   1   5.593E-02   1669.90496    114.4
   3    4   2   2.564E-01   2773.97691    194.1
   4    4   3   3.058E-02   1661.00802    194.1
   5    5   3   5.048E-02   1716.76979    196.8
! NUMBER OF COLLISION PARTNERS
2
! COLLISION PARTNER
2 oH2O - pH2 from Dubernet & Grosjean (2002) and Phillips et al. (1996) for T>20K       
! NUMBER OF COLLISIONAL TRANSITIONS
10
! NUMBER OF COLLISION TEMPERATURES
11
! COLLISION TEMPERATURES
  5.0    8.0   12.0   16.0   20.0   40.0   60.0   80.0  100.0  120.0  140.0
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
    1    2   1   8.2E-12 1.2E-11 1.6E-11 1.8E-11 1.9E-11 1.6E-11 1.9E-11 2.2E-11 2.4E-11 2.7E-11 3.0E-11
    2    3   1   2.0E-11 2.1E-11 2.1E-11 2.1E-11 2.1E-11 2.2E-11 2.2E-11 2.3E-11 2.5E-11 2.6E-11 2.8E-11
    3    3   2   1.6E-11 1.7E-11 1.8E-11 1.8E-11 1.8E-11 1.7E-11 1.6E-11 1.6E-11 1.5E-11 1.5E-11 1.5E-11
    4    4   1   3.6E-12 3.9E-12 4.1E-12 4.3E-12 4.4E-12 4.6E-12 4.8E-12 4.9E-12 5.1E-12 5.3E-12 5.5E-12
    5    4   2   2.0E-11 2.1E-11 2.1E-11 2.1E-11 2.1E-11 2.1E-11 2.1E-11 2.2E-11 2.3E-11 2.5E-11 2.6E-11
    6    4   3   1.0E-11 1.0E-11 1.0E-11 9.9E-12 9.9E-12 8.6E-12 9.0E-12 9.6E-12 1.0E-11 1.1E-11 1.2E-11
    7    5   1   8.0E-12 8.3E-12 8.5E-12 8.7E-12 8.8E-12 8.8E-12 8.9E-12 9.0E-12 9.2E-12 9.5E-12 9.8E-12
    8    5   2   3.7E-12 3.8E-12 3.8E-12 3.7E-12 3.7E-12 3.7E-12 3.7E-12 3.9E-12 4.1E-12 4.3E-12 4.6E-12 
    9    5   3   2.0E-11 2.0E-11 2.0E-11 2.0E-11 2.0E-11 2.1E-11 2.1E-11 2.1E-11 2.2E-11 2.3E-11 2.4E-11
   10    5   4   1.8E-12 2.1E-12 2.4E-12 2.5E-12 2.5E-12 2.1E-12 1.9E-12 1.8E-12 1.7E-12 1.7E-12 1.7E-12
! COLLISION PARTNER
3 oH2O - oH2 from Grosjean et al. (2003) and Phillips et al. (1996) for T>20K        
! NUMBER OF COLLISIONAL TRANSITIONS
10
! NUMBER OF COLLISION TEMPERATURES
11
! COLLISION TEMPERATURES
  5.0    8.0   12.0   16.0   20.0   40.0   60.0   80.0  100.0  120.0  140.0
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
    1    2   1   2.2E-10 2.3E-10 2.5E-10 2.6E-10 2.7E-10 2.9E-10 2.9E-10 2.9e-10 2.9E-10 2.9E-10 2.9e-10
    2    3   1   7.7E-11 8.2E-11 8.9E-11 9.5E-11 9.9E-11 1.1E-10 1.2E-10 1.2E-10 1.3E-10 1.3E-10 1.3E-10
    3    3   2   8.5E-11 9.0E-11 9.5E-11 9.9E-11 1.0E-10 9.8E-11 9.5E-11 9.1E-11 8.8E-11 8.6E-11 8.3E-11
    4    4   1   2.0E-11 2.1E-11 2.1E-11 2.2E-11 2.2E-11 2.3E-11 2.5E-11 2.6E-11 2.7E-11 2.8E-11 2.9E-11
    5    4   2   4.8E-11 5.0E-11 5.2E-11 5.3E-11 5.4E-11 5.9E-11 6.3E-11 6.6E-11 6.8E-11 7.0E-11 7.1E-11
    6    4   3   6.7E-11 7.3E-11 7.8E-11 8.3E-11 8.5E-11 8.9E-11 9.2E-11 9.2E-11 9.2E-11 9.2E-11 9.1E-11
    7    5   1   1.9E-11 1.9E-11 1.9E-11 1.9E-11 2.0E-11 1.8E-11 2.0E-11 2.1E-11 2.2E-11 2.2E-11 2.3E-11
    8    5   2   1.8E-11 1.8E-11 1.7E-11 1.7E-11 1.7E-11 1.6E-11 1.6E-11 1.6E-11 1.5E-11 1.5E-11 1.5E-11
    9    5   3   7.0E-11 7.4E-11 7.9E-11 8.3E-11 8.7E-11 9.4E-11 9.9E-11 1.0E-10 1.0E-10 1.0E-10 1.0E-10 
   10    5   4   2.9E-11 3.2E-11 3.6E-11 3.8E-11 3.9E-11 3.5E-11 3.2E-11 3.0E-11 2.8E-11 2.6E-11 2.5E-11
!NOTES:
!Energy levels, transition frequencies and Einstein A coefficients from JPL
